name,category,brand,price,rating,reviews_count,stock_status,size,size_type,link
"California Gold Nutrition,Gold C,витамин C,1000 мг,60 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",California Gold Nutrition,372.54,4.8,133026,1,60,штука,https://ru.iherb.com/pr/california-gold-nutrition-gold-c-vitamin-c-1-000-mg-60-veggie-capsules/61864
"California Gold Nutrition,Immune 4,средство для укрепления иммунитета,60 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Пищевые добавки,Микроэлементы,Селен",California Gold Nutrition,447.05,4.7,80059,1,60,штука,https://ru.iherb.com/pr/california-gold-nutrition-immune-4-immune-system-support-60-veggie-capsules/101714
"Now Foods,C-1000,250 таблеток","Пищевые добавки,Витамины,Витамин С",Now Foods,1238.05,4.7,11861,1,250,штука,https://ru.iherb.com/pr/now-foods-c-1000-250-tablets/466
"Now Foods,витамин D3,125 мкг (5000 МЕ),240 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,813.17,4.9,120814,1,240,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-125-mcg-5-000-iu-240-softgels/22335
"Now Foods,витамины D3 и K2,120 растительных капсул","Пищевые добавки,Витамины,Витамин D,Пищевые добавки,Витамины,Витамин К",Now Foods,574.76,4.8,14048,1,120,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-k-2-120-veg-capsules/10056
"Nature's Way,Alive! Once Daily,полный комплекс высокоэффективных мультивитаминов для женщин,60 таблеток","Пищевые добавки,Женское здоровье,Женские мультивитамины,Пищевые добавки,Витамины,Мультивитамины",Nature's Way,1255.47,4.6,19804,1,60,штука,https://ru.iherb.com/pr/nature-s-way-alive-once-daily-women-s-ultra-potency-complete-multi-vitamin-60-tablets/39614
"Life Extension,мультивитамины для приема два раза в день,120 капсул","Пищевые добавки,Витамины,Мультивитамины",Life Extension,1434.29,4.7,24536,1,120,штука,https://ru.iherb.com/pr/life-extension-two-per-day-multivitamin-120-capsules/86453
"California Gold Nutrition,витамин D3,125 мкг (5000 МЕ),360 капсул из рыбьего желатина","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",California Gold Nutrition,1013.31,4.9,94390,1,360,штука,https://ru.iherb.com/pr/california-gold-nutrition-vitamin-d3-125-mcg-5-000-iu-360-fish-gelatin-softgels/70317
"Now Foods,витамин D3,125 мкг (5000 МЕ),120 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,459.11,4.9,120814,1,120,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-125-mcg-5-000-iu-120-softgels/10421
"California Gold Nutrition,витамин D3,125 мкг (5000 МЕ),90 капсул из рыбьего желатина","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Пищевые добавки,Витамины",California Gold Nutrition,447.05,4.9,94396,1,90,штука,https://ru.iherb.com/pr/california-gold-nutrition-vitamin-d3-125-mcg-5-000-iu-90-fish-gelatin-softgels/70316
"Sundown Naturals Kids,Disney Frozen II,полный комплекс мультивитаминов в жевательных таблетках,со вкусом натуральной клубники,арбуза и малины,180 жевательных мармеладок","Товары для детей,Здоровье детей,Детские мультивитамины,Сезонные, чувствительные к жаре товары",Sundown Naturals Kids,1025.98,4.8,5841,1,180,штука,https://ru.iherb.com/pr/sundown-naturals-kids-complete-multivitamin-gummies-disney-frozen-ii-natural-strawberry-watermelon-raspberry-flavors-180-gummies/77991
"California Gold Nutrition,Gold C,витамин C,500 мг,240 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",California Gold Nutrition,968.61,4.8,10891,1,240,штука,https://ru.iherb.com/pr/california-gold-nutrition-gold-c-vitamin-c-500-mg-240-veggie-capsules/61866
"Now Foods,витамин E-400,вегетарианский продукт,268 мг (400 МЕ),100 вегетарианских капсул","Пищевые добавки,Витамины,Витамин Е",Now Foods,972.50,4.7,713,1,100,штука,https://ru.iherb.com/pr/now-foods-vegetarian-dry-e-400-268-mg-400-iu-100-veg-capsules/41721
"California Gold Nutrition,жевательные таблетки с витамином C,натуральный апельсиновый вкус,без желатина,90 жевательных таблеток","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота,Товары для детей,Здоровье детей,Витамин C для детей",California Gold Nutrition,670.57,4.8,33209,1,90,штука,https://ru.iherb.com/pr/california-gold-nutrition-vitamin-c-gummies-natural-orange-flavor-gelatin-free-90-gummies/69569
"Solaray,витамины D3 и K2,без сои,60 растительных капсул","Пищевые добавки,Витамины,Витамин D",Solaray,764.46,4.9,27316,1,60,штука,https://ru.iherb.com/pr/solaray-vitamin-d3-k2-60-vegcaps/70098
"Nature's Plus,Source of Life,Animal Parade,витамин D3,со вкусом натуральной черешни,500 МЕ,90 таблеток в форме животных","Товары для детей,Здоровье детей,Витамин D для детей",Nature's Plus,454.65,4.8,10179,1,90,штука,https://ru.iherb.com/pr/nature-s-plus-source-of-life-animal-parade-vitamin-d3-black-cherry-500-iu-90-animal-shaped-tablets/21492
"Now Foods,витамин B12,5000 мкг,60 пастилок","Пищевые добавки,Витамины,Витамин B,B12",Now Foods,706.95,4.7,909,1,60,штука,https://ru.iherb.com/pr/now-foods-b-12-5-000-mcg-60-lozenges/418
"Now Foods,витамин D3,50 мкг (2000 МЕ),120 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,317.48,4.9,81274,1,120,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-50-mcg-2-000-iu-120-softgels/8229
"Sports Research,витамины D3+K2,на растительной основе,60 растительных капсул","Питание для физической активности,Добавки для физической активности,Пищевые добавки,Витамины,Витамин К",Sports Research,1338.17,4.8,5120,1,60,штука,https://ru.iherb.com/pr/sports-research-vitamin-d3-k2-plant-based-60-veggie-softgels/79975
"21st Century,Комплекс витаминов группы B с витамином C,100 таблеток","Пищевые добавки,Витамины,Витамин B,Комплекс витаминов группы B",21st Century,385.95,4.7,5720,1,100,штука,https://ru.iherb.com/pr/21st-century-b-complex-plus-vitamin-c-100-tablets/11969
"Life Extension,Мультивитамины два раза в день,120 таблеток","Пищевые добавки,Витамины,Мультивитамины",Life Extension,1341.15,4.7,16191,1,120,штука,https://ru.iherb.com/pr/life-extension-two-per-day-multivitamin-120-tablets/86454
"Now Foods,витамин D3,50 мкг (2000 МЕ),240 капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол)",Now Foods,600.73,4.9,81274,1,240,штука,https://ru.iherb.com/pr/now-foods-vitamin-d-3-50-mcg-2-000-iu-240-softgels/16272
"Sports Research,витамин D3 с кокосовым маслом,125 мкг (5000 МЕ),30 мягких таблеток","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Питание для физической активности,Добавки для физической активности",Sports Research,332.31,4.8,7685,1,30,штука,https://ru.iherb.com/pr/sports-research-vitamin-d3-with-coconut-oil-125-mcg-5-000-iu-30-softgels/80606
"California Gold Nutrition,Gold C,витамин C,1000 мг,240 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота",California Gold Nutrition,1117.62,4.8,133028,1,240,штука,https://ru.iherb.com/pr/california-gold-nutrition-gold-c-vitamin-c-1-000-mg-240-veggie-capsules/61865
"21st Century,Витамин C,250 мг,110 таблеток","Пищевые добавки,Витамины,Витамин С",21st Century,194.47,4.7,4428,1,110,штука,https://ru.iherb.com/pr/21st-century-vitamin-c-250-mg-110-tablets/43727
"BioSchwartz,Natural Immunity,натуральная смесь для иммунитета,162 г (5,7 унции)","Пищевые добавки,Витамины,Витамин С,Питание для физической активности,Добавки для физической активности,Гидратация и электролиты",BioSchwartz,1340.40,4.5,6,1,5.7,унция,https://ru.iherb.com/pr/bioschwartz-natural-immunity-mix-5-7-oz-162-g/104920
"Solaray,витамин C длительного высвобождения,1000 мг,100 таблеток","Пищевые добавки,Витамины,Витамин С",Solaray,643.75,4.7,7678,1,100,штука,https://ru.iherb.com/pr/solaray-timed-release-vitamin-c-1-000-mg-100-tablets/70061
"Life Extension,Гамма E Смешанные Токоферолы,60  Мягких Желатиновых Капсул","Пищевые добавки,Витамины,Витамин Е",Life Extension,1788.20,4.7,388,1,60,штука,https://ru.iherb.com/pr/life-extension-gamma-e-mixed-tocopherols-60-softgels/71779
"Garden of Life,Vitamin Code,RAW One,мультивитаминная добавка для женщин (для приема 1 раз в день),75 вегетарианских капсул","Пищевые добавки,Женское здоровье,Женские мультивитамины",Garden of Life,2192.71,4.7,2987,1,75,штука,https://ru.iherb.com/pr/garden-of-life-vitamin-code-raw-one-once-daily-multivitamin-for-women-75-vegetarian-capsules/18253
"21st Century,Ниацин,100 мг,110 таблеток","Пищевые добавки,Витамины,Витамин B,B3 Ниацин",21st Century,165.41,4.5,843,1,110,штука,https://ru.iherb.com/pr/21st-century-niacin-100-mg-110-tablets/43720
"Nature's Way,Alive! жевательные витамины для женщин,75 жевательных таблеток","Пищевые добавки,Женское здоровье,Женские мультивитамины",Nature's Way,965.63,4.5,8485,1,75,штука,https://ru.iherb.com/pr/nature-s-way-alive-women-s-premium-gummies-multiitamin-75-gummies/50921
"Lake Avenue Nutrition,Витамин C,с Quali-C,1000 мг,365 вегетарианских капсул","Пищевые добавки,Витамины,Витамин С,Аскорбиновая кислота,Пищевые добавки,Витамины,Витамин С,Quali-C",Lake Avenue Nutrition,2235.25,4.7,5427,1,365,штука,https://ru.iherb.com/pr/lake-avenue-nutrition-vitamin-c-quali-c-1-000-mg-365-veggie-capsules/96287
"Solaray,витамины D3 и K2,без сои,120 вегетарианских капсул","Пищевые добавки,Витамины,Витамин D,D3 (холекальциферол),Пищевые добавки,Витамины,Витамин К",Solaray,1388.09,4.9,9885,0,120,штука,https://ru.iherb.com/pr/solaray-vitamin-d3-k2-soy-free-120-vegcaps/85529
